TestName,VertexCount,Runtime(milliseconds),PITC,PITC/VertexCount,UPD,AvgDegree,
StressTests/4286,1201,98,18259,15.2032,269,5.86152,
StressTests/4287,1201,113,18551,15.4463,377,5.94745,
StressTests/4288,1201,84,18423,15.3397,278,5.90142,
StressTests/4289,1201,111,18340,15.2706,423,5.91324,
StressTests/4290,1201,218,18525,15.4246,316,5.92808,
StressTests/4291,1200,100,18852,15.71,251,5.98501,
StressTests/4292,1200,103,18289,15.2408,318,5.88604,
StressTests/4293,1200,103,18528,15.44,409,5.95304,
StressTests/4294,1200,108,18276,15.23,320,5.88144,
StressTests/4295,1200,166,17852,14.8767,293,5.78761,
StressTests/4296,1200,110,18173,15.1442,274,5.84874,
StressTests/4297,1200,150,18524,15.4367,293,5.9276,
StressTests/4298,1200,88,18241,15.2008,336,5.87812,
StressTests/4299,1198,99,18268,15.2487,212,5.86434,
StressTests/4300,1197,83,18768,15.6792,369,6.00481,
StressTests/4301,1197,114,18333,15.3158,341,5.90795,
StressTests/4302,1197,109,18598,15.5372,271,5.94915,
StressTests/4303,1197,92,18713,15.6332,265,5.96383,
StressTests/4304,1197,111,18651,15.5815,287,5.96237,
StressTests/4305,1195,109,18588,15.5548,352,5.96982,
StressTests/4306,1196,116,18350,15.3428,246,5.89649,
StressTests/4307,1195,127,18174,15.2084,313,5.87369,
StressTests/4308,1196,100,18981,15.8704,248,6.02549,
StressTests/4309,1196,91,18350,15.3428,259,5.89476,
StressTests/4310,1195,104,18201,15.231,277,5.87231,
StressTests/4311,1195,114,18474,15.4594,403,5.95661,
StressTests/4312,1194,117,18132,15.1859,283,5.86827,
StressTests/4313,1195,420,17828,14.9188,244,5.78944,
StressTests/4314,1195,120,18040,15.0962,282,5.83858,
StressTests/4315,1195,82,18105,15.1506,377,5.87382,
StressTests/4316,1194,72,18769,15.7194,167,5.96132,
StressTests/4317,1194,104,18481,15.4782,225,5.93202,
StressTests/4318,1194,114,18669,15.6357,174,5.96355,
StressTests/4319,1194,166,18218,15.258,333,5.89073,
StressTests/4320,1194,104,18194,15.2379,350,5.89008,
StressTests/4321,1192,114,18147,15.224,258,5.86809,
StressTests/4322,1193,112,18227,15.2783,347,5.89948,
StressTests/4323,1193,118,19824,16.6169,190,6.18333,
StressTests/4324,1192,106,18364,15.406,398,5.9414,
StressTests/4325,1192,102,18302,15.354,468,5.94411,
StressTests/4326,1193,77,18477,15.4878,249,5.93156,
StressTests/4327,1193,79,18932,15.8692,190,6.00374,
StressTests/4328,1192,102,18740,15.7215,312,6.00336,
StressTests/4329,1192,70,18103,15.1871,432,5.89414,
StressTests/4330,1192,112,18628,15.6275,351,5.98802,
StressTests/4331,1191,106,18616,15.6306,324,5.98381,
StressTests/4332,1191,102,18008,15.1201,475,5.88728,
StressTests/4333,1191,96,18295,15.361,244,5.89371,
StressTests/4334,1191,189,17559,14.7431,294,5.75782,
StressTests/4335,1191,86,18430,15.4744,184,5.91354,
StressTests/4336,1190,72,18301,15.379,364,5.92865,
StressTests/4337,1189,105,18581,15.6274,371,5.99305,
StressTests/4338,1190,85,17982,15.1109,452,5.88003,
StressTests/4339,1190,91,18407,15.4681,250,5.92596,
StressTests/4340,1190,96,18897,15.8798,213,6.0245,
StressTests/4341,1190,96,18124,15.2303,303,5.87962,
StressTests/4342,1190,87,18384,15.4487,344,5.94171,
StressTests/4343,1190,107,18942,15.9176,346,6.05251,
StressTests/4344,1189,89,18339,15.4239,321,5.93008,
StressTests/4345,1190,91,18007,15.1319,340,5.86096,
StressTests/4346,1188,107,18181,15.3039,286,5.89334,
StressTests/4347,1186,117,18039,15.2099,212,5.8538,
StressTests/4348,1187,113,18204,15.3361,256,5.89515,
StressTests/4349,1187,99,18296,15.4136,230,5.91772,
StressTests/4350,1187,54,17901,15.0809,492,5.88059,
StressTests/4351,1187,105,18292,15.4103,253,5.9125,
StressTests/4352,1187,113,18536,15.6158,324,5.97827,
StressTests/4353,1187,99,18758,15.8029,184,5.96188,
StressTests/4354,1187,92,19339,16.2923,296,6.13191,
StressTests/4355,1186,130,18182,15.3305,493,5.94489,
StressTests/4356,1185,74,18369,15.5013,433,5.97421,
StressTests/4357,1186,93,18165,15.3162,266,5.89318,
StressTests/4358,1186,85,18029,15.2015,325,5.874,
StressTests/4359,1185,102,18125,15.2954,351,5.90531,
StressTests/4360,1185,90,17981,15.1738,245,5.85397,
StressTests/4361,1184,106,18279,15.4383,267,5.92436,
StressTests/4362,1183,128,17773,15.0237,309,5.8285,
StressTests/4363,1184,100,17825,15.0549,517,5.88026,
StressTests/4364,1182,97,17901,15.1447,550,5.90994,
StressTests/4365,1183,157,18216,15.3981,322,5.92505,
StressTests/4366,1182,109,18469,15.6252,301,5.98497,
StressTests/4367,1182,113,18218,15.4129,369,5.93876,
StressTests/4368,1182,64,17200,14.5516,762,5.80631,
StressTests/4369,1181,68,18313,15.5064,371,5.96267,
StressTests/4370,1181,74,18031,15.2676,360,5.90053,
StressTests/4371,1181,99,17761,15.039,283,5.82694,
StressTests/4372,1181,126,18447,15.6198,220,5.96698,
StressTests/4373,1181,186,18432,15.6071,122,5.93601,
StressTests/4374,1180,247,17470,14.8051,256,5.76316,
StressTests/4375,1180,102,18016,15.2678,426,5.91467,
StressTests/4376,1179,119,17680,14.9958,259,5.81002,
StressTests/4377,1179,109,18283,15.5072,305,5.94901,
StressTests/4378,1179,102,18343,15.5581,384,5.97666,
StressTests/4379,1179,163,18586,15.7642,256,5.99642,
StressTests/4380,1179,191,18667,15.8329,276,6.0156,
StressTests/4381,1177,97,17927,15.2311,282,5.87343,
StressTests/4382,1178,82,17770,15.0849,546,5.89392,
StressTests/4383,1178,97,18394,15.6146,276,5.96696,
StressTests/4384,1178,142,18314,15.5467,263,5.95674,
StressTests/4385,1178,88,18127,15.3879,241,5.90631,
StressTests/4386,1178,87,18689,15.865,283,6.03338,
StressTests/4387,1176,110,17545,14.9192,320,5.80511,
StressTests/4388,1177,95,17988,15.2829,404,5.91468,
StressTests/4389,1177,88,18701,15.8887,175,6.02174,
StressTests/4390,1177,135,17780,15.1062,477,5.88529,
StressTests/4391,1177,112,18195,15.4588,334,5.94298,
StressTests/4392,1176,115,17523,14.9005,323,5.79796,
StressTests/4393,1175,152,18287,15.5634,315,5.96526,
StressTests/4394,1175,80,18140,15.4383,218,5.90836,
StressTests/4395,1175,91,18104,15.4077,369,5.93735,
StressTests/4396,1174,108,18140,15.4514,322,5.93817,
StressTests/4397,1174,98,18436,15.7036,219,5.97954,
StressTests/4398,1174,104,18107,15.4233,203,5.91293,
StressTests/4399,1174,94,18238,15.5349,239,5.93955,
StressTests/4400,1174,112,17937,15.2785,230,5.87407,
StressTests/4401,1173,152,18396,15.6829,265,5.98399,
StressTests/4402,1173,72,18115,15.4433,279,5.9272,
StressTests/4403,1172,63,17686,15.0904,286,5.84045,
StressTests/4404,1172,94,17684,15.0887,321,5.84704,
StressTests/4405,1173,112,17669,15.0631,294,5.83504,
StressTests/4406,1172,70,17979,15.3404,247,5.8953,
StressTests/4407,1171,113,18010,15.38,443,5.94632,
StressTests/4408,1172,75,17882,15.2577,314,5.88887,
StressTests/4409,1171,98,18362,15.6806,241,5.97649,
StressTests/4410,1172,156,17663,15.0708,417,5.86407,
StressTests/4411,1172,95,17952,15.3174,358,5.91575,
StressTests/4412,1171,108,18420,15.7301,320,6.00856,
StressTests/4413,1171,93,18147,15.497,369,5.95916,
StressTests/4414,1170,125,18140,15.5043,397,5.96515,
StressTests/4415,1171,104,18969,16.199,299,6.11921,
StressTests/4416,1171,159,18495,15.7942,131,5.9771,
StressTests/4417,1170,86,17810,15.2222,272,5.87155,
StressTests/4418,1170,123,18030,15.4103,372,5.94006,
StressTests/4419,1170,90,18128,15.494,255,5.93556,
StressTests/4420,1170,90,17654,15.0889,316,5.84736,
StressTests/4421,1169,104,17844,15.2643,399,5.90894,
StressTests/4422,1170,60,17636,15.0735,295,5.83854,
StressTests/4423,1169,141,18237,15.6005,220,5.95506,
StressTests/4424,1170,63,17912,15.3094,322,5.90396,
StressTests/4425,1170,135,18622,15.9162,224,6.03102,
StressTests/4426,1168,96,17913,15.3365,243,5.89453,
StressTests/4427,1169,91,18314,15.6664,311,5.99079,
StressTests/4428,1168,79,17739,15.1875,268,5.8576,
StressTests/4429,1168,91,17895,15.3211,220,5.89539,
StressTests/4430,1168,100,18268,15.6404,265,5.97406,
StressTests/4431,1168,68,17542,15.0188,305,5.82654,
StressTests/4432,1168,82,17804,15.2432,297,5.88375,
StressTests/4433,1167,84,17683,15.1525,236,5.8464,
StressTests/4434,1168,95,18087,15.4854,268,5.93445,
StressTests/4435,1167,108,18369,15.7404,259,5.99488,
StressTests/4436,1168,66,18812,16.1062,221,6.08413,
StressTests/4437,1168,166,18532,15.8664,219,6.01686,
StressTests/4438,1167,104,18378,15.7481,181,5.98284,
StressTests/4439,1167,72,18060,15.4756,306,5.94452,
StressTests/4440,1167,101,17857,15.3016,314,5.90019,
StressTests/4441,1166,106,18406,15.7856,260,6.00941,
StressTests/4442,1167,94,17618,15.0968,357,5.85812,
StressTests/4443,1166,100,18330,15.7204,281,5.99807,
StressTests/4444,1166,88,17719,15.1964,301,5.87055,
StressTests/4445,1166,114,17778,15.247,427,5.91108,
StressTests/4446,1165,89,17990,15.4421,318,5.93636,
StressTests/4447,1165,440,17573,15.0841,245,5.83054,
StressTests/4448,1165,66,18049,15.4927,333,5.95227,
StressTests/4449,1164,110,17944,15.4158,287,5.91906,
StressTests/4450,1164,70,18096,15.5464,338,5.96345,
StressTests/4451,1164,55,18054,15.5103,283,5.94599,
